Date,EUR/JPY,USD/NOK,USD/ZAR,RUB/USD,NOK/SEK,NZD/JPY,AUD/NZD,EUR/USD,GBP/JPY,GBP/CHF,GBP/USD,USD/AUD
05/07/2000,101.96,8.5946,6.785,0.0357,1.0282,49.27,1.2784,0.9629,161.25,2.448,1.5079,0.59
06/07/2000,102.17,8.6199,6.865,0.0357,1.0304,49.48,1.2822,0.9598,162.02,2.4502,1.5074,0.5912
07/07/2000,102.32,8.5918,6.863,0.0357,1.0369,49.75,1.2832,0.956,163.31,2.4638,1.5138,0.5917
10/07/2000,102.25,8.5503,6.8225,0.0357,1.0354,49.42,1.2837,0.9635,162,2.4567,1.5135,0.593
11/07/2000,101.99,8.5894,6.8,0.0358,1.032,49.24,1.2775,0.9608,162.5,2.47,1.5173,0.5881
12/07/2000,101.87,8.6514,6.83,0.0359,1.0228,49.76,1.2775,0.9506,162.86,2.489,1.5064,0.589
13/07/2000,101.33,8.7058,6.86,0.0359,1.0232,49.86,1.2691,0.9447,162.56,2.487,1.5036,0.5857
14/07/2000,101.19,8.6913,6.8875,0.0359,1.0237,49.69,1.2667,0.946,161.86,2.4781,1.5008,0.5854
17/07/2000,101.3,8.7169,6.915,0.0359,1.0252,49.66,1.2787,0.9438,161.55,2.4718,1.4954,0.5895
18/07/2000,99.98,8.8642,6.955,0.0359,1.028,49.42,1.272,0.9346,161.91,2.508,1.4973,0.5831
19/07/2000,100.1,8.8436,6.9775,0.0361,1.0263,49.3,1.2656,0.9311,162.27,2.511,1.4982,0.5767
20/07/2000,100.49,8.767,6.92,0.0363,1.0258,49.83,1.2603,0.9406,162.77,2.5126,1.5114,0.5841
21/07/2000,102.06,8.7333,6.915,0.0362,1.0272,50.3,1.2696,0.9446,165.23,2.519,1.517,0.587
24/07/2000,101.58,8.7684,6.9475,0.0362,1.024,50.15,1.2696,0.9402,164.87,2.5232,1.5156,0.5852
25/07/2000,102.36,8.7266,6.9575,0.0361,1.0263,50.27,1.2711,0.9455,165.39,2.5069,1.5162,0.586
26/07/2000,102.98,8.6866,6.925,0.0362,1.0259,50.45,1.2795,0.9491,165.46,2.4976,1.5156,0.5919
27/07/2000,101.73,8.81,6.9375,0.0360,1.0341,49.98,1.2839,0.9396,165.27,2.519,1.514,0.5877
